epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.161,1.85539,3.61645,1.6913,0.92689,0.0625,0.08658,0.01599,1.71328,3.32868,2.27652,3.334e-05,3.334e-05,3.334e-05
2,12.5271,1.75468,3.48706,1.65909,0.95988,0.0625,0.10034,0.02674,1.54515,2.90996,2.07626,7.50984e-05,7.50984e-05,7.50984e-05
3,16.1214,1.52159,2.71364,1.50869,0.36397,0.4125,0.1727,0.08224,1.34663,5.52288,1.73249,0.000106955,0.000106955,0.000106955
4,18.5638,1.33273,1.87381,1.28919,0.5527,0.5625,0.6072,0.37311,1.61461,3.47927,1.53226,0.000128909,0.000128909,0.000128909
5,24.779,1.21675,1.59008,1.19921,0.24323,0.5375,0.40502,0.20909,1.63864,2.34545,1.54398,0.000140962,0.000140962,0.000140962
6,26.9399,1.13646,1.35361,1.20378,0.45989,0.625,0.56914,0.34147,1.40254,2.62451,1.44527,0.000143112,0.000143112,0.000143112
7,29.1844,1.11444,1.33186,1.1541,0.81581,0.5,0.62642,0.38118,1.32426,3.22283,1.41615,0.00013536,0.00013536,0.00013536
8,34.6415,1.10619,1.15779,1.15444,0.7972,0.5,0.62195,0.38611,1.33509,3.23171,1.4008,0.000117707,0.000117707,0.000117707
9,37.7654,1.12233,1.13899,1.15001,0.82855,0.5,0.59023,0.36222,1.33027,2.47445,1.42211,9.01514e-05,9.01514e-05,9.01514e-05
10,39.8854,1.06151,1.16626,1.12025,0.64539,0.5625,0.56225,0.34222,1.36879,2.33075,1.45251,5.26939e-05,5.26939e-05,5.26939e-05
