Timestamp (s),Objects Detected
0.0,anomaly
0.03333333333333333,anomaly
0.06666666666666667,anomaly
0.1,anomaly
0.13333333333333333,anomaly
0.16666666666666666,anomaly
0.2,anomaly
0.23333333333333334,anomaly
0.26666666666666666,anomaly
0.3,anomaly
0.3333333333333333,anomaly
0.36666666666666664,anomaly
0.4,anomaly
0.43333333333333335,anomaly
0.4666666666666667,anomaly
0.5,anomaly
0.5333333333333333,anomaly
0.5666666666666667,anomaly
0.6,anomaly
0.6333333333333333,anomaly
0.6666666666666666,anomaly
0.7,anomaly
0.7333333333333333,anomaly
0.7666666666666667,anomaly
0.8,anomaly
0.8333333333333334,anomaly
0.8666666666666667,anomaly
0.9,anomaly
0.9333333333333333,anomaly
0.9666666666666667,anomaly
1.0,anomaly
1.0333333333333334,anomaly
1.0666666666666667,anomaly
1.1,anomaly
1.1333333333333333,anomaly
1.1666666666666667,anomaly
1.2,anomaly
1.2333333333333334,anomaly
1.2666666666666666,anomaly
1.3,anomaly
1.3333333333333333,anomaly
1.3666666666666667,anomaly
1.4,anomaly
1.4333333333333333,anomaly
1.4666666666666666,anomaly
1.5,anomaly
1.5333333333333334,anomaly
1.5666666666666667,anomaly
1.6,anomaly
1.6333333333333333,anomaly
1.6666666666666667,anomaly
1.7,anomaly
1.7333333333333334,anomaly
1.7666666666666666,anomaly
1.8,anomaly
1.8333333333333333,anomaly
1.8666666666666667,anomaly
1.9,anomaly
1.9333333333333333,anomaly
1.9666666666666666,anomaly
2.0,anomaly
2.033333333333333,anomaly
2.066666666666667,anomaly
2.1,anomaly
2.1333333333333333,anomaly
2.1666666666666665,anomaly
2.2,anomaly
2.2333333333333334,anomaly
2.2666666666666666,anomaly
2.3,anomaly
2.3333333333333335,anomaly
2.3666666666666667,anomaly
2.4,anomaly
2.433333333333333,anomaly
2.466666666666667,anomaly
2.5,anomaly
2.533333333333333,anomaly
2.566666666666667,anomaly
2.6,anomaly
2.6333333333333333,anomaly
2.6666666666666665,anomaly
2.7,anomaly
2.7333333333333334,anomaly
2.7666666666666666,anomaly
2.8,anomaly
2.8333333333333335,anomaly
2.8666666666666667,anomaly
2.9,anomaly
2.933333333333333,anomaly
2.966666666666667,anomaly
3.0,anomaly
3.033333333333333,anomaly
3.066666666666667,anomaly
3.1,anomaly
3.1333333333333333,anomaly
3.1666666666666665,anomaly
3.2,anomaly
3.2333333333333334,anomaly
3.2666666666666666,anomaly
3.3,anomaly
3.3333333333333335,anomaly
3.3666666666666667,anomaly
3.4,anomaly
3.433333333333333,anomaly
3.466666666666667,anomaly
3.5,anomaly
3.533333333333333,anomaly
