epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.94123,1.78491,3.88892,1.63262,0.03529,0.825,0.04928,0.02573,1.72803,3.48393,2.23452,3.334e-05,3.334e-05,3.334e-05
2,12.1901,1.7507,3.66946,1.65896,0.15311,0.3,0.17238,0.10483,1.77407,4.74627,2.24051,7.50984e-05,7.50984e-05,7.50984e-05
3,15.186,1.54073,2.81254,1.55392,0.85263,0.45,0.43241,0.29551,1.45673,6.62403,1.93977,0.000106955,0.000106955,0.000106955
4,18.5018,1.27974,1.79789,1.29139,0.78158,0.5,0.4501,0.30901,1.44259,4.51259,1.75366,0.000128909,0.000128909,0.000128909
5,22.5086,1.2254,1.44129,1.22508,0.83131,0.49148,0.42612,0.2782,1.39989,3.12812,1.74864,0.000140962,0.000140962,0.000140962
6,25.0389,1.19738,1.35502,1.23533,0.83709,0.5625,0.60713,0.38264,1.43757,3.21379,1.64758,0.000143112,0.000143112,0.000143112
7,27.7952,1.13748,1.28497,1.16018,0.7912,0.5625,0.59729,0.38329,1.4539,3.58482,1.69308,0.00013536,0.00013536,0.00013536
8,30.0144,1.12846,0.97632,1.16696,0.76754,0.5625,0.62403,0.38812,1.48801,3.47639,1.72887,0.000117707,0.000117707,0.000117707
9,35.0738,1.10073,0.95952,1.13312,0.8333,0.5625,0.617,0.38353,1.43326,2.49269,1.65221,9.01514e-05,9.01514e-05,9.01514e-05
10,37.5024,1.0897,1.10238,1.14485,0.62278,0.6875,0.62485,0.38432,1.42856,2.34422,1.65089,5.26939e-05,5.26939e-05,5.26939e-05
