epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.1951,1.63063,3.21386,1.58891,0.84212,0.25,0.23463,0.13269,1.63382,2.82354,2.3447,3.334e-05,3.334e-05,3.334e-05
2,16.6073,1.62062,3.18378,1.60691,0.83531,0.25,0.21708,0.12513,1.63532,2.82851,2.30709,7.50984e-05,7.50984e-05,7.50984e-05
3,19.1616,1.63803,3.1173,1.69974,0.6812,0.4,0.19237,0.09729,1.48784,3.95346,2.03903,0.000106955,0.000106955,0.000106955
4,21.9921,1.31404,1.76532,1.37533,0.90471,0.5,0.57899,0.3823,1.414,2.47655,1.85574,0.000128909,0.000128909,0.000128909
5,25.3655,1.19872,1.43547,1.27153,1,0.49457,0.55892,0.40415,1.43551,2.27211,1.72921,0.000140962,0.000140962,0.000140962
6,28.3687,1.12904,1.2842,1.29453,0.91203,0.5,0.533,0.38972,1.4878,2.15954,1.84459,0.000143112,0.000143112,0.000143112
7,31.1085,1.09705,1.40466,1.20498,0.94849,0.5,0.59359,0.37621,1.50987,1.54854,1.7998,0.00013536,0.00013536,0.00013536
8,34.1505,1.10078,1.12773,1.23629,0.92213,0.45,0.66625,0.38766,1.44799,1.50543,1.74698,0.000117707,0.000117707,0.000117707
9,37.1128,1.09942,1.07904,1.19233,0.84973,0.5,0.56265,0.37542,1.50925,1.72996,1.75016,9.01514e-05,9.01514e-05,9.01514e-05
10,40.1776,1.04393,1.16614,1.18508,0.853,0.5,0.5539,0.37363,1.45051,1.64979,1.71831,5.26939e-05,5.26939e-05,5.26939e-05
